Date,Open,High,Low,Close,Volume,daily_return,log_return,vol_20d,cluster_regime,vol_z
2015-07-01,8376.25,8481.599609375,8370.150390625,8453.0498046875,131800,0.0101033404657346,0.0100526429119175,0.1286709782383847,0.0,-0.1421209957457475
2015-07-02,8471.9501953125,8479.25,8433.2001953125,8444.900390625,112000,-0.000964079740543,-0.0009645447643201,0.1287854649413789,0.0,-0.14073159370001956
2015-07-03,8440.099609375,8497.75,8424.150390625,8484.900390625,88400,0.0047365863597876,0.0047254040314225,0.1283145004962031,0.0,-0.1464471829036448
2015-07-06,8386.150390625,8533.150390625,8386.150390625,8522.150390625,101500,0.0043901517148223,0.0043805431106717,0.1217288777466498,0.0,-0.2263698069404658
2015-07-07,8525.5,8561.349609375,8483.849609375,8510.7998046875,122200,-0.001331892235789,-0.0013327799926047,0.1209865808910855,0.0,-0.23537826593775715
2015-07-08,8439.2001953125,8457.5,8341.400390625,8363.0498046875,188100,-0.0173602955527897,-0.0175127525255737,0.135450598757042,0.0,-0.05984402932496109
2015-07-09,8364.849609375,8400.2998046875,8323.0,8328.5498046875,131300,-0.0041252893149892,-0.0041338217950059,0.1123520128998648,0.0,-0.34016673584054785
2015-07-10,8365.7001953125,8377.099609375,8315.400390625,8360.5498046875,154100,0.0038422055160178,0.0038348430969963,0.1124961221794393,0.0,-0.3384178364259205
2015-07-13,8397.25,8471.650390625,8355.400390625,8459.650390625,117800,0.0118533575246375,0.0117836567339471,0.1173521437607859,0.0,-0.2794855225172658
2015-07-14,8470.599609375,8480.25,8424.099609375,8454.099609375,101700,-0.0006561478304294,-0.0006563631896272,0.117805584706614,0.0,-0.2739825971881802
2015-07-15,8463.400390625,8531.400390625,8462.9501953125,8523.7998046875,105500,0.0082445438938532,0.0082107432951097,0.1191225210375458,0.0,-0.25800035659223475
2015-07-16,8546.150390625,8616.099609375,8542.900390625,8608.0498046875,116000,0.0098840894824474,0.009835561378738,0.1188110676726431,0.0,-0.26178013128245814
2015-07-17,8623.650390625,8642.9501953125,8593.150390625,8609.849609375,105000,0.0002090839073118,0.000209062052318,0.1183202483524253,0.0,-0.2677366777612913
2015-07-20,8623.900390625,8624.099609375,8559.0,8603.4501953125,90600,-0.0007432666484129,-0.000743543008016,0.1079146427933029,0.0,-0.3940183268329152
